ID,workID,number,type
371,1334,3700107838,2
372,1335,3700116950,2
373,1342,1900188406,2
374,1345,9004071512,2
375,1347,2251325077,2
376,1353,8885007791,2
377,1355,0202020185,2
378,1357,3895343358,2
379,1359,3805328214,2
380,1360,2870312059,2
381,1362,2706110511,2
382,1364,3515079149,2
383,1366,8883031008,2
384,1367,0199253749,2
385,1368,3805329156,2
386,1369,2877753255,2
387,1371,189095134X,2
388,1373,8185212783,2
389,1374,0747244367,2
390,1375,380533043X,2
391,1376,9608573904,2
392,1377,2251014292,2
393,1379,071851906X,2
395,1381,095397622X,2
396,1382,8390043475,2
397,1384,5020089664,2
398,1385,2869581726,2
399,1387,0140513485,2
400,1389,1903464196,2
401,1390,0752425390,2
402,1391,8882652017,2
403,1393,2859444556,2
404,1395,1566705576,2
405,1396,0471204897,2
406,1399,0415256070,2
407,1400,0226300714,2
408,1401,9608189071,2
409,1402,0130460273,2
410,1404,1903544041,2
411,1406,2080830031,2
412,1408,019511678X,2
413,1410,0807408018,2
414,1411,2913322794,2
415,1414,0752419463,2
416,1415,0816051232,2
417,1416,1902937198,2
418,1422,2503509479,2
419,1424,2503507972,2
420,1426,2877721949,2
421,1427,3799573593,2
422,1430,8845290557,2
423,1433,0743453573,2
424,1434,8849112823,2
425,1436,287754107X,2
426,1438,8437055237,2
427,1440,0816052190,2
428,1441,0195515579,2
429,1444,9963560423,2
430,1446,080102420X,2
431,1447,9739399177,2
432,1451,8824314503,2
433,1457,1841712744,2
434,1458,0712348042,2
435,1459,887228340X,2
436,1461,8831780115,2
437,1463,8882651401,2
438,1465,096367384X,2
439,1467,2910640086,2
440,1470,1902040260,2
441,1471,0963673823,2
442,1473,3525259506,2
443,1474,888265222X,2
444,1475,2728305927,2
445,1480,2503521789,2
446,1482,2728305889,2
447,1486,2728306419,2
448,1487,3884670719,2
449,1488,2903189676,2
450,1490,8876892095,2
451,1492,8884980585,2
452,1493,2738497195,2
453,1495,906258098X,2
454,1498,3515078916,2
455,1501,2848670177,2
456,1504,2877540243,2
457,1506,9050634583,2
458,1509,3805327102,2
459,1510,8433828207,2
460,1512,8476715609,2
461,1516,2701801362,2
462,1518,0950836397,2
463,1519,0674611268,2
464,1521,2701801265,2
465,1524,0691054185,2
466,1526,0714616346,2
467,1528,2708982915,2
468,1536,0510032052,2
469,1537,0300043147,2
470,1539,2708982958,2
471,1540,3806211892,2
472,1541,3806202427,2
473,1542,2708401076,2
474,1544,0907132081,2
475,1545,2251605223,2
476,1555,378611675X,2
477,1558,290318934X,2
478,1561,2222034167,2
479,1562,2213592365,2
480,1563,2222023114,2
481,1568,1850740615,2
482,1569,0271004169,2
483,1574,8871400607,2
484,1575,2724701224,2
485,1577,185074209X,2
486,1581,225133307X,2
487,1583,0905205251,2
488,1588,0691036802,2
489,1592,2869580371,2
490,1594,9072019016,2
491,1596,0883-9514,1
492,1598,8878132659,2
493,1600,0691055491,2
494,981,8871230809,2
495,1164,0198148283,2
496,1602,0674777557,2
497,1603,0714123005,2
498,1605,0904531961,2
499,1606,0198144733,2
500,1607,2728300593,2
501,1608,2865380890,2
502,1613,0415008379,2
503,1615,2222046653,2
504,1619,882403957X,2
505,1621,088402122X,2
506,1623,9170810990,2
507,1626,3805305702,2
508,1628,0860543501,2
509,1630,0860543617,2
510,1632,348706264X,2
511,1634,9050635083,2
512,1637,2717720499,2
513,1638,0520073037,2
514,1639,0900891580,2
515,1644,0226086356,2
516,1657,0424062003,2
517,1662,8871400364,2
518,1664,887686041X,2
519,1667,1887829156,2
520,1668,2724702409,2
521,1671,0292712111,2
522,1672,1872414354,2
523,1675,0860541428,2
524,1678,3515068279,2
525,1680,2251333088,2
526,1681,2728300488,2
527,1682,0852634587,2
528,1684,2728301158,2
529,1685,2877720500,2
530,1687,3806201900,2
531,1689,3700108117,2
532,1690,2866391160 : 33,2
533,1700,888502050X,2
534,1703,0520083296,2
535,1704,0815550170,2
536,1709,0814714161,2
537,1711,0460044486,2
538,1713,8872840309,2
539,1715,0904152081,2
540,1717,0521076072,2
541,1719,2903504245,2
542,1721,8871400275,2
543,1724,8870626849,2
544,1725,0950134546,2
545,1727,0195072804,2
546,1728,0713460857,2
547,1730,0802058418,2
548,1732,9004094237,2
549,1734,8872280621,2
550,1737,2701800366,2
551,1742,380531521X,2
552,1747,8870627144,2
553,1749,8830407968,2
554,1754,8876420681,2
555,1758,2717102760,2
556,1760,2869580355,2
557,1762,2869580797,2
558,1764,340607992X,2
559,1768,8876811168,2
560,1769,8772887400,2
561,1770,0801418011,2
562,1776,0415003423,2
563,1777,272830193X,2
564,1782,9062552099,2
565,1785,2728300704,2
566,1787,2728301689,2
567,1790,0860542394,2
568,1791,9170421196,2
569,1793,0860548252,2
570,1795,9061860377,2
572,1797,3805313209,2
573,1800,2724700333,2
574,1802,0520034333,2
575,1804,2869580053,2
576,1805,2222041147,2
577,1806,3406356427,2
578,1807,0788504126,2
579,1810,0897222695,2
580,1812,1841713228,2
581,1813,3774930325,2
582,1815,8821808750,2
583,1817,8821808777,2
584,1818,0470847395,2
585,1819,1841714976,2
586,1820,0197270123,2
587,1822,1841713031,2
588,1823,0903903237,2
589,1825,184171464X,2
590,1826,1841714186,2
591,1827,0860540448,2
592,1828,2903442738,2
593,1829,8427606028,2
594,1830,8460025993,2
595,1836,0881430277,2
596,1839,3406334504,2
597,1840,0860548090,2
598,1841,8824038212,2
599,1843,0813721091,2
600,1849,9070265877,2
601,1850,9050630537,2
602,1858,0198131925,2
603,1859,0904152073,2
604,1860,0860541231,2
605,1862,0521250889,2
606,1864,0907764118,2
607,1871,9630530171,2
608,1876,5895260012,2
609,1877,2904582002,2
610,1878,3110036126,2
611,1880,3406333036,2
612,1881,0801420415,2
613,1882,0674258657,2
614,1885,1555409369,2
615,1892,2735106225,2
616,1895,8881470764,2
617,1898,0856683671,2
618,1899,0860544184,2
619,1903,3534059581,2
620,1905,3884670344,2
621,1908,9025609422,2
622,1909,8487004032,2
623,1913,2877720578,2
624,1917,0198146949,2
625,1918,8830410128,2
